,Player,Match_played,Starts,Minutes_played,Gls,Ast,Shots,shots_on_target,goals_per_shot,goals_per_shot_on_target,non_penalty_goals,penalty_goal,CrdY,CrdR,pass_comp,pass_attempt,pass_comp%,tackles_made,successful_tackles,Blocks,interceptions,clearence,Err,Touches,successful_dribbles,dribbles_attempted,successful_dribbles%,fouls_commited,fouls_drawn,offside,crosses,penalty_kick_won,penalty_kick_conceded,own_goal,aerial_duo_won,aerial_duo_lost,Pos,Age,Club_country,Club,Team,Cleansheets,Shots saved
374,Pervis Estupiñán,3,3,270,0,0,1,1,0,0,0,0,0,0,148,190,77.9,6,3,4,3,6,0,222,2,8,25,8,3,2,19,0,0,0,3,3,DF,24,England,Brighton,Ecuador,0,
375,Hernán Galíndez,3,3,270,0,0,0,0,0,0,0,0,0,0,44,74,59.5,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,2,0,GK,35,Ecuador,SD Aucas,Ecuador,1,3
376,Piero Hincapié,3,3,270,0,0,0,0,0,0,0,0,0,0,168,200,84,7,4,2,2,9,0,227,0,0,0,5,1,0,1,0,1,0,5,3,DF,20,Germany,Leverkusen,Ecuador,0,
377,Félix Torres Caicedo,3,3,270,0,1,1,0,0,0,0,0,0,0,168,208,80.8,2,2,3,4,10,0,233,0,1,0,1,0,0,0,0,0,0,9,4,DF,25,mx,Santos,Ecuador,0,
378,Moisés Caicedo,3,3,269,1,0,3,1,0.33,1,1,0,1,0,126,153,82.4,6,5,4,2,2,1,174,0,0,0,4,5,0,0,0,0,0,1,1,MF,20,England,Brighton,Ecuador,0,
379,Gonzalo Plata,3,3,269,0,0,2,1,0,0,0,0,0,0,77,104,74,3,2,3,2,0,0,133,4,12,33.3,4,6,0,17,0,0,0,5,6,"MF,FW",21,Spain,Valladolid,Ecuador,0,
380,Ángelo Preciado,3,3,264,0,1,4,0,0,0,0,0,0,0,94,129,72.9,7,5,2,6,4,0,160,0,4,0,8,2,0,8,0,0,0,3,2,DF,24,Belgium,Genk,Ecuador,0,
381,Enner Valencia,3,3,255,3,0,8,3,0.25,0.67,2,1,0,0,40,57,70.2,2,0,3,1,2,0,99,2,7,28.6,3,7,2,3,1,0,0,2,8,"FW,MF",32,Turkey,Fenerbahçe,Ecuador,0,
382,Michael Estrada,3,3,225,0,0,3,0,0,0,0,0,0,0,28,50,56,1,0,4,0,0,0,71,2,3,66.7,6,7,2,0,0,0,0,13,14,FW,26,mx,Cruz Azul,Ecuador,0,
383,Jhegson Méndez,2,2,180,0,0,0,0,0,0,0,0,2,0,128,140,91.4,2,2,4,1,1,0,149,0,1,0,3,2,0,2,0,0,0,2,2,MF,25,America,Los Angeles FC,Ecuador,0,
